tf	blanco	experimento	pmids	en_corpus
PhoB	PA4236	EMSA|GUS reporter gene assay	16238634	true
PsrA	PA3013	Beta-gal reporter assay|DNA-array expression analysis|EMSA|qRT-PCR [RNA]	18524913	true
PsrA	PA3014	Beta-gal reporter assay|DNA-array expression analysis|EMSA|qRT-PCR [RNA]	18524913	true
PtxR	PA1148	Beta-gal reporter assay|DNAse footprinting|EMSA|Isothermal titration calorimetry	22844393	true
PtxR	PA2260	Beta-gal reporter assay|DNAse footprinting|EMSA|Isothermal titration calorimetry	22844393	true
PtxR	PA2261	Beta-gal reporter assay|DNAse footprinting|EMSA|Isothermal titration calorimetry	22844393	true
PtxR	PA2262	Beta-gal reporter assay|DNAse footprinting|EMSA|Isothermal titration calorimetry	22844393	true
PtxR	PA2263	Beta-gal reporter assay|DNAse footprinting|EMSA|Isothermal titration calorimetry	22844393	true
PtxR	PA2264	DNAse footprinting|EMSA|Isothermal titration calorimetry	22844393	true
PtxR	PA2265	DNAse footprinting|EMSA|Isothermal titration calorimetry	22844393	true
PtxR	PA2266	DNAse footprinting|EMSA|Isothermal titration calorimetry	22844393	true
PtxS	PA2259	Beta-gal reporter assay|DNAse footprinting|EMSA	22844393	true
PtxS	PA2260	Beta-gal reporter assay|DNAse footprinting|EMSA	22844393	true
PtxS	PA2261	Beta-gal reporter assay|DNAse footprinting|EMSA	22844393	true
PtxS	PA2262	Beta-gal reporter assay|DNAse footprinting|EMSA	22844393	true
PtxS	PA2263	Beta-gal reporter assay|DNAse footprinting|EMSA	22844393	true
PtxS	PA2264	DNAse footprinting|EMSA	22844393	true
PtxS	PA2265	DNAse footprinting|EMSA	22844393	true
PtxS	PA2266	DNAse footprinting|EMSA	22844393	true
PvdS	PA2396	Beta-gal reporter assay|EMSA|In-vitro transcription|Site directed mutagenesis	11222621	true
PvdS	PA2397	Beta-gal reporter assay|EMSA|In-vitro transcription|Site directed mutagenesis	11222621	true
PyeR	PA4354	Beta-gal reporter assay|EMSA|qRT-PCR [RNA]	22820840	true
PyeR	PA4355	Beta-gal reporter assay|EMSA|qRT-PCR [RNA]	22820840	true
PyeR	PA4356	Beta-gal reporter assay|EMSA|qRT-PCR [RNA]	22820840	true
QscR	PA1897	Beta-gal reporter assay|DNAse footprinting|EMSA|Site directed mutagenesis	16390453	true
RhlR	PA3478	Beta-gal reporter assay|EMSA|Site directed mutagenesis	14526008|24935161	true
RhlR	PA3479	Beta-gal reporter assay|EMSA|Site directed mutagenesis	14526008|24935161	true
RhlR	PA5161	Beta-gal reporter assay|Site directed mutagenesis	22262098	true
RhlR	PA5162	Beta-gal reporter assay|Site directed mutagenesis	22262098	true
RhlR	PA5163	Beta-gal reporter assay|Site directed mutagenesis	22262098	true
RhlR	PA5164	Beta-gal reporter assay|Site directed mutagenesis	22262098	true
RpoN	PA3540	DNAse footprinting|EMSA|Site directed mutagenesis	10792721	true
RpoN	PA5292	Beta-gal reporter assay|Site directed mutagenesis	20869215	false
RsaL	PA1432	Beta-gal reporter assay|DNAse footprinting|EMSA|Site directed mutagenesis|Western blot (quantitative) expression analysis	17172347|18045385	true
RsaL	PA2193	DNA-array expression analysis|EMSA	18045385	false
RsaL	PA4209	DNA-array expression analysis|EMSA	18045385	false
RsaL	PA4210	DNA-array expression analysis|EMSA	18045385	false
Vfr	PA0652	Beta-gal reporter assay|DNAse footprinting|EMSA|In-vitro transcription	20494996	false
Vfr	PA1097	Beta-gal reporter assay|DNAse footprinting|EMSA|Site directed mutagenesis	12218009	true
Vfr	PA1430	Beta-gal reporter assay|EMSA|Site directed mutagenesis	9190808	true
Vfr	PA2258	Beta-gal reporter assay|DNAse footprinting|EMSA	18227247	true
Vfr	PA4704	Beta-gal reporter assay|EMSA|Site directed mutagenesis	19801409	true
