locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA4225	pchF	PA4225	protein_coding	pyochelin synthetase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4226	pchE	PA4226	protein_coding	dihydroaeruginoic acid synthetase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4227	pchR	PA4227	protein_coding	transcriptional regulator PchR	true	collectf|kw_transcription_regulation|producto_refseq	refseq|kegg|uniprot|uniprot_especie	false
PA4228	pchD	PA4228	protein_coding	2,3-dihydroxybenzoate-AMP ligase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4229	pchC	PA4229	protein_coding	pyochelin biosynthetic protein PchC	false		refseq|kegg|uniprot	false
PA4230	pchB	PA4230	protein_coding	isochorismate-pyruvate lyase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4231	pchA	PA4231	protein_coding	salicylate biosynthesis isochorismate synthase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4232	ssb	PA4232	protein_coding	single-stranded DNA-binding protein	false		refseq|kegg|uniprot|uniprot_especie	true
PA4233		PA4233	protein_coding	major facilitator superfamily transporter	false		refseq|kegg|uniprot	false
PA4234	uvrA	PA4234	protein_coding	excinuclease ABC subunit A	false		refseq|kegg|uniprot|uniprot_especie	false
PA4235	bfrA	PA4235|ftnA	protein_coding	bacterioferritin	false		refseq|kegg|uniprot|uniprot_especie	false
PA4236	katA	PA4236	protein_coding	catalase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4237	rplQ	PA4237	protein_coding	50S ribosomal protein L17	false		refseq|kegg|uniprot|uniprot_especie	false
PA4238	rpoA	PA4238	protein_coding	DNA-directed RNA polymerase subunit alpha	false		refseq|kegg|uniprot|uniprot_especie	false
PA4239	rpsD	PA4239	protein_coding	30S ribosomal protein S4	false		refseq|kegg|uniprot|uniprot_especie	false
PA4240	rpsK	PA4240	protein_coding	30S ribosomal protein S11	false		refseq|kegg|uniprot|uniprot_especie	false
PA4241	rpsM	PA4241	protein_coding	30S ribosomal protein S13	false		refseq|kegg|uniprot|uniprot_especie	false
PA4242	rpmJ	PA4242|rpmJ1	protein_coding	50S ribosomal protein L36	false		refseq|kegg|uniprot|uniprot_especie	false
PA4243	secY	PA4243	protein_coding	preprotein translocase subunit SecY	false		refseq|kegg|uniprot|uniprot_especie	false
PA4244	rplO	PA4244	protein_coding	50S ribosomal protein L15	false		refseq|kegg|uniprot|uniprot_especie	false
PA4245	rpmD	PA4245	protein_coding	50S ribosomal protein L30	false		refseq|kegg|uniprot|uniprot_especie	false
PA4246	rpsE	PA4246	protein_coding	30S ribosomal protein S5	false		refseq|kegg|uniprot|uniprot_especie	false
PA4247	rplR	PA4247	protein_coding	50S ribosomal protein L18	false		refseq|kegg|uniprot|uniprot_especie	false
PA4248	rplF	PA4248	protein_coding	50S ribosomal protein L6	false		refseq|kegg|uniprot|uniprot_especie	false
PA4249	rpsH	PA4249	protein_coding	30S ribosomal protein S8	false		refseq|kegg|uniprot|uniprot_especie	false
PA4250	rpsN	PA4250	protein_coding	30S ribosomal protein S14	false		refseq|kegg|uniprot|uniprot_especie	false
PA4251	rplE	PA4251	protein_coding	50S ribosomal protein L5	false		refseq|kegg|uniprot|uniprot_especie	false
PA4252	rplX	PA4252	protein_coding	50S ribosomal protein L24	false		refseq|kegg|uniprot|uniprot_especie	false
