locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA0290			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0291	oprE		protein_coding	anaerobically-induced outer membrane porin OprE	false		refseq|uniprot	false
PA0292	aguA		protein_coding	agmatine deiminase	false		refseq|uniprot	false
PA0293	aguB		protein_coding	N-carbamoylputrescine amidohydrolase	false		refseq|uniprot	false
PA0294	aguR		protein_coding	transcriptional regulator AguR	true	go_0003700|go_0006355|producto_refseq	refseq|uniprot	false
PA0295			protein_coding	polyamine binding protein	false		refseq|uniprot	false
PA0296	spuI		protein_coding	glutamine synthetase	false		refseq|uniprot	false
PA0297	spuA		protein_coding	glutamine amidotransferase	false		refseq|uniprot	false
PA0298	spuB		protein_coding	glutamine synthetase	false		refseq|uniprot	false
PA0299	spuC		protein_coding	aminotransferase	false		refseq|uniprot	false
PA0300	spuD		protein_coding	putrescine ABC transporter substrate-binding protein SpuD	false		refseq|uniprot	false
PA0301	spuE		protein_coding	spermidine ABC transporter substrate-binding protein SpuE	false		refseq|uniprot	false
PA0302	spuF	potA	protein_coding	polyamine transporter PotG	false		refseq|uniprot	false
PA0303	spuG		protein_coding	polyamine transporter PotH	false		refseq|uniprot	false
PA0304	spuH		protein_coding	polyamine transporter PotI	false		refseq|uniprot	false
PA0305			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0306			protein_coding	transcriptional regulator	true	go_0003700|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0307			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0308			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0309			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0310			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0311			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0312			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0313			protein_coding	L-cysteine ABC transporter protein YecS	false		refseq|uniprot	false
PA0314			protein_coding	L-cysteine ABC transporter protein FliY	false		refseq|uniprot	false
PA0315			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0316	serA		protein_coding	D-3-phosphoglycerate dehydrogenase	false		refseq|uniprot	false
PA0317			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0318			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0319			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0320	carO		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0321	aphB		protein_coding	acetylpolyamine aminohydrolase	false		refseq|uniprot	false
PA0322			protein_coding	transporter	false		refseq|uniprot	false
PA0323			protein_coding	ABC transporter	false		refseq|uniprot	false
PA0324			protein_coding	ABC transporter permease	false		refseq|uniprot	false
PA0325			protein_coding	ABC transporter permease	false		refseq|uniprot	false
PA0326	potA		protein_coding	ABC transporter ATP-binding protein	false		refseq|uniprot	false
PA0327	carP		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0328			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0329			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0330	rpiA		protein_coding	ribose-5-phosphate isomerase A	false		refseq|uniprot	false
PA0331	ilvA1	ilvA	protein_coding	threonine dehydratase	false		refseq|uniprot	false
PA0332			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0333			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0334			protein_coding	major facilitator superfamily transporter	false		refseq|uniprot	false
PA0335			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0336	ygdP	nudH|rppH	protein_coding	RNA pyrophosphohydrolase	false		refseq|uniprot	false
PA0337	ptsP		protein_coding	phosphoenolpyruvate-protein phosphotransferase PtsP	false		refseq|uniprot	false
PA0338			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0339			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0340			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0341	lgt		protein_coding	prolipoprotein diacylglyceryl transferase	false		refseq|uniprot	true
PA0342	thyA		protein_coding	thymidylate synthase	false		refseq|uniprot	false
PA0343			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0344			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0345			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0346			protein_coding	hypothetical protein	false		refseq|uniprot	false
