tf	blanco	experimento	pmids
ArgR	PA5171	DNAse footprinting [PMID: 10198009]|EMSA [PMID: 10198009]|Site directed mutagenesis [PMID: 10198009]	
ArgR	PA5172	DNAse footprinting [PMID: 10198009]|EMSA [PMID: 10198009]|Site directed mutagenesis [PMID: 10198009]	
ArgR	PA5173	DNAse footprinting [PMID: 10198009]|EMSA [PMID: 10198009]|Site directed mutagenesis [PMID: 10198009]	
BrlR	PA4878	Beta-gal reporter assay [PMID: 24612375]|ChIP-PCR [PMID: 24612375]|EMSA [PMID: 24612375]|Site directed mutagenesis [PMID: 24612375]	
DNR	PA0523	Beta-gal reporter assay [PMID: 19477902]|Site directed mutagenesis [PMID: 19477902]|Western blot (quantitative) expression analysis [PMID: 19477902]	
DNR	PA0524	Beta-gal reporter assay [PMID: 19477902]|Site directed mutagenesis [PMID: 19477902]|Western blot (quantitative) expression analysis [PMID: 19477902]	
DesT	PA4888	DNAse footprinting [PMID: 17877713]|EMSA [PMID: 17877713]|qPCR [quantitative real-time] [PMID: 17877713]	
DesT	PA4889	DNAse footprinting [PMID: 17877713]|EMSA [PMID: 17877713]|qPCR [quantitative real-time] [PMID: 17877713]	
ExsA	PA1710	"EMSA [PMID: 22408165|18373522]"|Beta-gal reporter assay [PMID: 22408165]|DNAse footprinting [PMID: 18373522]|Site directed mutagenesis [PMID: 22408165]	
FleQ	PA3064	Beta-gal reporter assay [PMID: 22581773]|DNAse footprinting [PMID: 22581773]|Site directed mutagenesis [PMID: 22581773]	
Fur	PA0672	DNAse footprinting [PMID: 8633080]|EMSA [PMID: 8633080]|Genomic SELEX [PMID: 8633080]|RNAse protection [PMID: 8633080]	
Fur	PA0929	DNAse footprinting [PMID: 8633080]|EMSA [PMID: 8633080]|Genomic SELEX [PMID: 8633080]|RNAse protection [PMID: 8633080]	
Fur	PA0964	DNAse footprinting [PMID: 8633080]|EMSA [PMID: 8633080]|Genomic SELEX [PMID: 8633080]|RNAse protection [PMID: 8633080]	
Fur	PA1321	DNAse footprinting [PMID: 8633080]|EMSA [PMID: 8633080]|Genomic SELEX [PMID: 8633080]|RNAse protection [PMID: 8633080]	
Fur	PA2426	DNAse footprinting [PMID: 8633080]|EMSA [PMID: 8633080]|Genomic SELEX [PMID: 8633080]|RNAse protection [PMID: 8633080]	
Fur	PA2637	DNAse footprinting [PMID: 8633080]|EMSA [PMID: 8633080]|Genomic SELEX [PMID: 8633080]|RNAse protection [PMID: 8633080]	
Fur	PA3410	DNAse footprinting [PMID: 8633080]|EMSA [PMID: 8633080]|Genomic SELEX [PMID: 8633080]|RNAse protection [PMID: 8633080]	
Fur	PA4156	FURTA [PMID: 21546589]|qPCR [quantitative real-time] [PMID: 21546589]	
Fur	PA4471	"DNAse footprinting [PMID: 9045799|"EMSA [PMID: 9045799|8633080]"|DNAse footprinting [PMID: 9045799]|EMSA [PMID: 9045799]|Genomic SELEX [PMID: 8633080]|Primer Extension assay [PMID: 9045799]|RNAse protection [PMID: 8633080]	
Fur	PA4513	DNAse footprinting [PMID: 8633080]|EMSA [PMID: 8633080]|Genomic SELEX [PMID: 8633080]|RNAse protection [PMID: 8633080]	
Fur	PA4515	DNAse footprinting [PMID: 8633080]|EMSA [PMID: 8633080]|Genomic SELEX [PMID: 8633080]|RNAse protection [PMID: 8633080]	
Fur	PA4634	DNAse footprinting [PMID: 8633080]|EMSA [PMID: 8633080]|Genomic SELEX [PMID: 8633080]|RNAse protection [PMID: 8633080]	
Fur	PA4704	"EMSA [PMID: 15210934|8633080]"|DNAse footprinting [PMID: 8633080]|Genomic SELEX [PMID: 8633080]|Northern blot [PMID: 15210934]|RNAse protection [PMID: 8633080]	
Fur	PA4710	DNAse footprinting [PMID: 10658665]|RNAse protection [PMID: 10658665]	
IHF	PA3540	CAT reporter gene assays [PMID: 8051019]|Copper-phenanthroline footprinting [PMID: 8051019]|EMSA [PMID: 8051019]|Site directed mutagenesis [PMID: 8051019]	
IscR	PA2532	EMSA [PMID: 22609922]|Northern blot [PMID: 22609922]	
LasR	PA0026	ChIP-PCR [PMID: 19682264]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0027	ChIP-PCR [PMID: 19682264]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0028	ChIP-PCR [PMID: 19682264]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0122	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0143	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0144	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0805	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0806	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0855	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0996	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0997	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0998	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA0999	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA1000	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA1003	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA1159	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA1245	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA1246	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA1247	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA1248	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA1431	"DNAse footprinting [PMID: 15505212|"EMSA [PMID: 19682264|15505212|18045385]"|ChIP-PCR [PMID: 19682264]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA1432	"DNAse footprinting [PMID: 15505212|"EMSA [PMID: 19682264|15505212|18045385]"|ChIP-PCR [PMID: 19682264]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA1656	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA1657	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA1658	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA1659	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA1869	Beta-gal reporter assay [PMID: 11544214]|Site directed mutagenesis [PMID: 11544214]	
LasR	PA1898	Beta-gal reporter assay [PMID: 11544214]|Site directed mutagenesis [PMID: 11544214]	
LasR	PA1914	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2080	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA2081	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA2231	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2232	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2233	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2234	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2235	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2236	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2237	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2238	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2239	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2240	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2241	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2242	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2302	ChIP-PCR [PMID: 19682264]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2303	ChIP-PCR [PMID: 19682264]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2304	ChIP-PCR [PMID: 19682264]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2305	ChIP-PCR [PMID: 19682264]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2426	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA2587	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA2588	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
